episode,steps,return_train,return_plot,avg_train_100,avg_plot_100,max_plot,ecoef,coef_dis
100,1063,160.0,117.0,279.33,156.84,496.0,0.05,0.0
200,2104,161.0,149.0,290.39,167.01,530.0,0.05,0.0
300,3102,398.0,150.0,295.75,180.44,831.0,0.05,0.0
400,4137,346.0,226.0,285.97,158.73,831.0,0.04983673469387755,0.002040816326530612
500,5372,223.0,137.0,282.32,145.32,831.0,0.04983673469387755,0.002040816326530612
600,6631,331.0,250.0,322.19,168.63,831.0,0.04983673469387755,0.002040816326530612
700,7855,334.0,239.0,265.7,158.67,831.0,0.04983673469387755,0.002040816326530612
800,8900,645.0,453.0,310.08,185.69,831.0,0.049673469387755104,0.004081632653061224
900,10039,238.0,170.0,307.09,181.83,831.0,0.049673469387755104,0.004081632653061224
1000,11139,823.0,456.0,313.38,195.44,831.0,0.049673469387755104,0.004081632653061224
1100,12157,322.0,194.0,306.88,182.36,831.0,0.049673469387755104,0.004081632653061224
1200,13062,174.0,144.0,300.49,195.77,831.0,0.049510204081632654,0.006122448979591837
1300,13939,221.0,117.0,332.16,204.97,831.0,0.049510204081632654,0.006122448979591837
1400,14835,136.0,124.0,290.46,184.16,831.0,0.049510204081632654,0.006122448979591837
1500,15721,283.0,283.0,319.64,221.87,831.0,0.049510204081632654,0.006122448979591837
1600,16696,137.0,109.0,315.97,181.15,831.0,0.049346938775510205,0.008163265306122448
1700,17753,278.0,169.0,323.27,202.82,831.0,0.049346938775510205,0.008163265306122448
1800,18800,174.0,174.0,363.42,219.13,831.0,0.049346938775510205,0.008163265306122448
1900,19867,368.0,360.0,338.61,223.54,831.0,0.049346938775510205,0.008163265306122448
2000,20890,419.0,207.0,336.44,214.82,968.0,0.049183673469387755,0.010204081632653062
2100,21892,190.0,150.0,358.33,236.93,968.0,0.049183673469387755,0.010204081632653062
2200,22907,628.0,600.0,366.66,244.04,968.0,0.049183673469387755,0.010204081632653062
2300,23836,374.0,166.0,338.5,216.4,968.0,0.049183673469387755,0.010204081632653062
2400,24788,306.0,206.0,302.08,206.57,968.0,0.049020408163265305,0.012244897959183675
2500,25861,394.0,110.0,374.81,232.27,968.0,0.049020408163265305,0.012244897959183675
2600,26915,1392.0,182.0,402.07,260.35,968.0,0.049020408163265305,0.012244897959183675
2700,27939,214.0,214.0,374.95,230.09,968.0,0.049020408163265305,0.012244897959183675
2800,28923,357.0,281.0,386.91,249.3,968.0,0.04885714285714286,0.014285714285714285
2900,29866,430.0,430.0,382.55,277.8,968.0,0.04885714285714286,0.014285714285714285
3000,30795,210.0,138.0,349.97,242.09,968.0,0.04885714285714286,0.014285714285714285
